Diana
Diana,Ava,Eileen,Carol
6s,3z,3p,5p
4m,2z,7m,5s
2p,5z,9m,1z
9p,7m,8m,7p
4s,7m,1z,6z
6s,3p,1z,7s
3p,1s,1m,3s
5m,2s,9s,2s
1p,5s,2s,1s
7m,2m,7p,9p
7z,6z,9p,2p
9s,7z,7z,3s
2z,3p,3s,7s
4m,2p,3z,5m
4m,3z,2s,2p
5m,8p,5z,3m
6s,2z,9s,5s
5p,6m,4s,7s
6s,5z,1z,1z
8s,6s,4z,4p
1p,7m,3p,7s
5s,6p,7p,1m
7z,7m,3s,1s
3m,7z,1z,6m
5m,3p,8m,9p
2p,9s,6p,5s
9s,1s,3z,5m
4p,6z,2z,4s
2p,2s,1z,1m
3z,4z,8s,2m
4s,5s,1m,4p
7s,8s,8p,5m
3p,2m,7p,5p
9s,1m,8m,8p
7s,6z,5z,6z
2s,4m,4p,6s
9s,7z,4s,7p
1m,4z,4p,1s
9p,3p,9m,3s
4s,4z,1s,9m
2p,2p,7p,3s
2m,6m,3z,5z
3m,8p,7z,3m
8p,9p,1p,6p
1m,6m,8s,7s
6m,6p,5p,3m
3z,6s,9p,6m
6z,2z,8s,1p
5p,6p,6p,2s
2m,5z,4m,8m
5s,7z,4m,5s
5p,9m,7p,3s
5m,9s,7m,1p
3m,1p,9m,8m
8p,6z,3z,3m
